id,fullName,name,type
n10116,"@java+method#com.fsck.k9.mailstore.LocalFolder.fetch(java.util.List,com.fsck.k9.mail.FetchProfile,com.fsck.k9.mail.MessageRetrievalListener).$anonymous1.doDbWork(com.fsck.k9.mailstore.SQLiteDatabase)",doDbWork,Operation
n10117,@java+field#com.fsck.k9.ui.messageview.MessageTopView.PROGRESS_MAX,PROGRESS_MAX,Variable
n10118,@java+field#com.fsck.k9.activity.setup.AccountSettings.accountShowPictures,accountShowPictures,Variable
n10119,@java+interface#com.fsck.k9.mail.internet.RawDataBody,RawDataBody,Structure
n1012,@java+method#com.fsck.k9.mail.Address.parseUnencoded(java.lang.String),parseUnencoded,Operation
n10120,"@java+method#com.fsck.k9.activity.Accounts.AccountsAdapter.getView(int,com.fsck.k9.fragment.View,com.fsck.k9.fragment.ViewGroup)",getView,Operation
n10121,@java+initializer#com.fsck.k9.preferences.AccountSettings$initializer1,,Operation
n10122,@java+method#com.fsck.k9.mail.store.imap.ImapFolder.getRemoteMessageCount(java.lang.String),getRemoteMessageCount,Operation
n10123,@java+field#com.fsck.k9.mailstore.LocalStore.MSG_INDEX_FLAG_ANSWERED,MSG_INDEX_FLAG_ANSWERED,Variable
n10124,@java+class#com.fsck.k9.ui.crypto.MessageCryptoAnnotations,MessageCryptoAnnotations,Structure
n10125,@java+method#com.fsck.k9.mail.internet.MimeHeader.Field.hasRawData(),hasRawData,Operation
n10126,"@java+method#com.fsck.k9.search.SearchSpecification.SearchCondition.writeToParcel(com.fsck.k9.search.Parcel,int)",writeToParcel,Operation
n10127,@java+method#com.fsck.k9.activity.setup.SliderPreference.setValue(float),setValue,Operation
n10128,@java+field#com.fsck.k9.ui.messageview.MessageCryptoPresenter.overrideCryptoWarning,overrideCryptoWarning,Variable
n10129,@java+method#com.fsck.k9.helper.UnreadWidgetProperties.getClickIntentForAccount(com.fsck.k9.controller.Context),getClickIntentForAccount,Operation
n1013,@java+field#com.fsck.k9.fragment.MLFProjectionInfo.PREVIEW_TYPE_COLUMN,PREVIEW_TYPE_COLUMN,Variable
n10130,@java+field#com.fsck.k9.view.HighlightDialogFragment.showcaseView,showcaseView,Variable
n10131,@java+method#com.fsck.k9.ui.messageview.MessageViewFragment.onSaveAttachmentToUserProvidedDirectory(com.fsck.k9.mailstore.AttachmentViewInfo),onSaveAttachmentToUserProvidedDirectory,Operation
n10132,@java+class#com.fsck.k9.activity.compose.PgpSignOnlyDialog,PgpSignOnlyDialog,Structure
n10133,@java+method#com.fsck.k9.mail.AddressTest.parse_withMultipleEmails_shouldDecodeBoth(),parse_withMultipleEmails_shouldDecodeBoth,Operation
n10134,@java+method#com.fsck.k9.Account.syncRemoteDeletions(),syncRemoteDeletions,Operation
n10135,@java+field#com.fsck.k9.activity.Accounts.mSelectedContextAccount,mSelectedContextAccount,Variable
n10136,@java+method#com.fsck.k9.mail.store.imap.ImapConnectionTest.open_withNoPostAuthCapabilityResponse_shouldIssueCapabilityCommand(),open_withNoPostAuthCapabilityResponse_shouldIssueCapabilityCommand,Operation
n10137,@java+field#com.fsck.k9.message.MessageBuilderTest.TEST_MESSAGE_TEXT,TEST_MESSAGE_TEXT,Variable
n10138,@java+method#com.fsck.k9.mail.filter.FixedLengthInputStreamTest.readingStream_withLimitGreaterThanNumberOfBytesInUnderlyingInputStream(),readingStream_withLimitGreaterThanNumberOfBytesInUnderlyingInputStream,Operation
n10139,@java+method#com.fsck.k9.mail.store.imap.ImapFolderTest.getMessages_withListener_shouldCallListener(),getMessages_withListener_shouldCallListener,Operation
n1014,@java+method#com.fsck.k9.activity.setup.AccountSettings.onManageIdentities(),onManageIdentities,Operation
n10140,@java+field#com.fsck.k9.ui.messageview.CryptoInfoDialog.bottomIcon_1,bottomIcon_1,Variable
n10141,@java+field#com.fsck.k9.fragment.MessageListAdapter.fontSizes,fontSizes,Variable
n10142,@java+method#com.fsck.k9.activity.setup.AccountSettings.onCreate(com.fsck.k9.fragment.Bundle).$anonymous28.onPreferenceClick(com.fsck.k9.activity.Preference),onPreferenceClick,Operation
n10143,@java+field#com.fsck.k9.message.html.HttpUriParser.IPv4_PATTERN,IPv4_PATTERN,Variable
n10144,@java+method#com.fsck.k9.activity.MessageList.removeMessageListFragment(),removeMessageListFragment,Operation
n10145,@java+class#com.fsck.k9.mailstore.util.FlowedMessageUtils,FlowedMessageUtils,Structure
n10146,@java+method#com.fsck.k9.search.LocalSearch.addAccountUuid(java.lang.String),addAccountUuid,Operation
n10147,@java+field#org.openintents.openpgp.util.ShadowOpenPgpAsyncTask.realAsyncTask,realAsyncTask,Variable
n10148,@java+interface#com.fsck.k9.mailstore.LocalStore.BatchSetSelection,BatchSetSelection,Structure
n10149,@java+method#com.fsck.k9.mailstore.migrations.MigrationTo44.addMessagesThreadingColumns(com.fsck.k9.mailstore.SQLiteDatabase),addMessagesThreadingColumns,Operation
n1015,@java+field#com.fsck.k9.activity.MessageList.mAccount,mAccount,Variable
n10150,@java+method#com.fsck.k9.mailstore.LockableDatabase.openOrCreateDataspace(),openOrCreateDataspace,Operation
n10151,@java+field#com.fsck.k9.activity.setup.AccountSettings.accountVibrateEnabled,accountVibrateEnabled,Variable
n10152,@java+method#com.fsck.k9.helper.MergeCursor.registerContentObserver(com.fsck.k9.helper.ContentObserver),registerContentObserver,Operation
n10153,@java+field#com.fsck.k9.view.ColorChip.RIGHT_POINTING,RIGHT_POINTING,Variable
n10154,@java+method#com.fsck.k9.mail.Address_quoteAtoms.testNoQuote(),testNoQuote,Operation
n10155,@java+class#com.fsck.k9.mail.store.imap.mockserver.MockImapServer.EnableCompression,EnableCompression,Structure
n10156,"@java+method#com.fsck.k9.mail.transport.smtp.SmtpTransportTest.startServerAndCreateSmtpTransport(com.fsck.k9.mail.transport.mockServer.MockSmtpServer,com.fsck.k9.mail.AuthType,com.fsck.k9.mail.ConnectionSecurity,java.lang.String)",startServerAndCreateSmtpTransport,Operation
n10157,@java+constructor#com.fsck.k9.fragment.ProgressDialogFragment.ProgressDialogFragment(),,Constructor
n10158,@java+method#com.fsck.k9.mailstore.migrations.MigrationMimeStructureStateTest.init_apply_nextmulti_apply_shouldYieldMultipartChildValues(),init_apply_nextmulti_apply_shouldYieldMultipartChildValues,Operation
n10159,@java+method#com.fsck.k9.mail.internet.MimeBodyPart.getBody(),getBody,Operation
n1016,@java+field#com.fsck.k9.activity.Accounts.SetPasswordsAsyncTask.mOutgoingPassword,mOutgoingPassword,Variable
n10160,@java+field#com.fsck.k9.mail.store.imap.ImapResponseParserTest.TestImapResponseCallback.exceptionCount,exceptionCount,Variable
n10161,@java+field#com.fsck.k9.mail.store.imap.ImapStoreTest.storeConfig,storeConfig,Variable
